Product_Name,Order_Guide_Line_No,Product_Code,UPC_Code,Category,Unit_Of_Measure,Case_Weight,Case_Size_WxHxD,Unit_Weight,Unit_Size_WxHxD,Pallet_Qty,Country_Of_Origin,Availability,Unit_Price,Image_link
"2-1/4"" CARBON HOLE SAW + MANDR",,9-66289,045325768761,Bosch® Power Tool Accessories,50/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/9-66289.jpg
"BOSCH SQ2 3.5"" IMPACT POWER BI",,27228B,NO BAR CODE,Bosch® Power Tool Accessories,500/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/27228B.jpg
"2-9/16"" CARBIDE HOLE SAW MULTI",,HTC256,000346374612,Bosch® Power Tool Accessories,10/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/HTC256.jpg
"4"" ANGLE GRINDER WHEEL GUARD -",,T3004,000346095098,Bosch® Power Tool Accessories,1/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/T3004.jpg
14pc U-SHANK JIG SAW BLADE WIT,,U14CPSCL,000346465822,Bosch® Power Tool Accessories,6/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/U14CPSCL.jpg
"12"" 18 TPI RECIP SAW BLADE BI-",,RM1218-10B,000346348071,Bosch® Power Tool Accessories,300/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/RM1218-10B.jpg
"25pk 12"" 3TPI CARBIDE RECIP SA",,RCFP123-25B,,Bosch® Power Tool Accessories,8/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/RCFP123-25B.jpg
"9"" CARBIDE SAW BLADE 48T 1"" AR",,PRO948ST,000346361988,Bosch® Power Tool Accessories,5/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/PRO948ST.jpg
"9"" 60T FINISHING SAW BLADE 5/8",,PRO960FINB,090991497750,Bosch® Power Tool Accessories,1/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/PRO960FINB.jpg
"3-1/4"" 30 GRIT CERAMIC JIG SAW",,T130RF1,000346317404,Bosch® Power Tool Accessories,40/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/T130RF1.jpg
"14"" 80T CIRCULAR SAW BLADE 1""",,PRO1480CHB,000346360240,Bosch® Power Tool Accessories,5/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/PRO1480CHB.jpg
"3-1/4"" MULTI TOOL SEALANT KNIF",,OSC314K,000346462777,Bosch® Power Tool Accessories,150/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/OSC314K.jpg
"3-1/4"" SEALENT REMOVAL KNIFE -OSCILATING MUTLI TOOL BIT",,OSF314K,NO BAR CODE,Bosch® Power Tool Accessories,150/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/OSF314K.jpg
"BOSCH 3.5"" HCS SEGMENT BLADE",,OSC312,NO BAR CODE,Bosch® Power Tool Accessories,80/EACH,,,,,0 units,,,,http://p2.glwholesale.com/l/OSC312.jpg
